,Text,Sentiment
40,AAP obbers hit Apple Store Paris. Prefer take merchendise cash. Bullish .,1
41,AXA Here tip day. Buy ! You even sign newsletter anything O If I 'm wrong I eat crow : ),1
42,X 1/2 due move today Kirby daily around 26.00 - still swing 1/2,1
43,"AAP 10 min short longs fully add , look pop market , shakeout reset",1
44,NG stellar move - still long swing - full position - I believe user & user 2,1
45,ATICE & TADE SETP : KO AN CNX,1
46,IDCC 50SMA act good support. Short-term momentum indicator switch upside .,1
47,"NEW POST : BAC Is At 19 Month Highs , But Showing Signs Stress",1
48,c two daily bull flag top other=bullish still,1
49,NG - traditional AT point figure - bullish BY signal multiyear high,1
50,jpm close > 10sma Monday ( u know rule ) ... large cup n handle ... .still bullish,1
51,EOG ascend triangle - original target 127 extension EPS Feb 11th ? 1/2 position swing,1
52,"aapl daily , break downtrend ( close price ) w v pattern back play ... ... .600 target",1
53,PHM PulteGroup Option Bear bet 1.5 Million 11 % move April,-1
54,BAC In 11.97 trade,1
55,Short Setups display relative weakness : AO COH PAY BWD DT SHD WTW P Prepare short stall. ES_F,-1
56,"When AMZN monetize electronics make traffic marketplace , AAP GOOG wake say n't buy EBAY",1
57,"CVI start clean book , make first buy yr - entry 49.54 stop 47.43",1
58,SAM cheer temporary solution economic woe - entry 139.81 stop 131.92,1
59,SK GAVE !,-1
60,ovti ttm end Oct 2012 Negative 151 million operational cash flow.. 273 % decline v yoy ttm end oct 2011,-1
61,AAP GOOG respond positively good jobless claim number,1
62,Analyst price target earnings target come -- -EXACTY want see prior AAP reporting .,1
63,user Nice ! Color INTC bull well !,1
64,"Heads p : AA Earnings ( 1/8/13 ) es Than Week Away , Tho The Season Does n't EAY Begin Cranking 'Til 1/16 w/ GS JPM EBAY et al ...",1
65,"trade idea buy WO market 26.64 , target 36 , cut 23.50",1
66,"Trade idea buy DC market 58.50 , target 67 , cut 53",1
67,GOOG look set make new ATH. Now E unknown .,1
68,GOOG trade one long verse 10sma,1
69,"FNF - ong 19.43. Trailing Stop 21.04 6 prior Stops 19.71 , 19.52 , 18.70 , 18.65 , 18.07 17.87 -",1
70,"FOD see solid move tom , system predict nice green candle .",1
71,This year fitness health apps ... winner gynormous speculation run high nke,1
72,It 's time invest MSFT COMPQ,1
73,"New Post : Shorts Will Make Dimes , ongs Will Make Dollars AAP SPX QQQ P",1
74,nbelieveable payment trend VC 's chase easily play public market ... . EBAY V Mastercard MA time high,1
75,Some watch list stock trigger today OEX AGNX TV VBD XIDE PPC EXP ONTY BMN FS WK CHMT FBC ISI AIG,1
76,Nice Bull flag breakout OC # technology # software,1
77,My setup alert go bonkers today..One many get triggered.Cup+Handle breakout PFE,1
78,The host ... .congrats cloud today AX user all-time highs. wow,1
79,X Did .S. Steel Just Breakout ? MT,1
80,DNDN break clear 5.5 resistanc level heavy volume & could head much high,1
81,EXPE look good high price,1
82,apc weekly setting long .,1
83,I go morning long 3 AAP 560 call option & GOOG 725 call Jan 4th expiration,1
84,ES_F path higher unthreatened unless 1452.25 support fails. See resistance 1466.00 SPX # stock .,1
85,Monitor S line/price dynamic. Stocks close Dec.28 S line new high be4 price. MHO TSM IPGP EQIX BC BDC ASH,1
86,DDD IDCC continue high,1
87,"Had hop pick OST today , look like I 'm day late. Nice move morning .",1
88,GPS wow wa fast fast fade ...,-1
89,AMZN go 260. Should go near 300 market behaves week .,1
90,Huston GEEN AAP,1
91,P long 9.55,1
92,HN breakout ... 3rd day look pullback enter long .,1
93,NG - ascend triangle much like FS & X breakouts 127 exten 161.8 target - fib subjective,1
94,KCG ... thing make go hmmmm ?,1
95,VNG - Huge news patent attorney Dan avicher,1
96,NG nhod - check weekly - target previous low 2006 : ),1
97,NG nhod - see ? check weekly - target previous low 2006 : ),1
98,AIG American International Group Option Traders bet 4 % move next Friday,-1
99,P balance +.32,1
100,VNG buy vs. Sells ?,1
101,BAC In 12.00 since consolidation level. We could close = > 12.09 market stable pm IMHO .,1
102,VNG Parabolic move comin ',1
103,New Sony pre-owned block tech patent unearth SNE ... 50 % GME profit pre own ..last one turn light,-1
104,"like VS , love WYNN 111 entry new target yesterday 121. nice !",1
105,user : SPX 1464.90 Wave iv would 20 point low [ 1467.00 KEY ] ES_F HOD 1460.00 ( neckline 1458.50 bearish ),-1
106,"DDD consolidate strong move previous day 55 60 , next buy point 60 volume ( hold ) .",1
107,VNG - 12 mil share short plus long buying = massive VNG short squeeze. Just think story dead avicher kill short thesis,1
108,"Wow , good BKS T user ... sale Nook 13 % holiday",-1
109,AC watch list - volume pick 139 % full day average -from 200-day bounce,1
110,"The new wightwatchers ad fun light regular people interest , I still dont trust WTW ( position )",-1
111,AMZN hold well - next buy point clear upper trend line heavy volume,1
112,MA exactly want see follow thru day break new high volume,1
113,ZCS user There 's buying,1
114,AAP SPY QE 2013. Now bring Geithner .,-1
115,Over extended stock market + unexpected news FED minute = Down ESD & panicky ES_F NQ_F .,-1
116,"SPY ncle Ben need spice thing little. AAP people bore , wake .",-1
117,AAP might close low day. Bears control descend trendline. Watch .,-1
118,FAN - seek 200d. Im add synthetic short add 200d .,-1
119,"CWST low day 4.50 , near high day 4.56 , watchn b/out , minimal risk",1
120,All : gme Gamestop short target spy,-1
121,time get # cloud stock VMW CM,-1
122,BAC Keep Overniight mmy pos. bin premarket Tmorrow .,1
123,Polk Expects 2013 .S. New Vehicle egistrations 15.3 Million - Polk - F GM I think low,1
124,Very bullish market also talk trend SCTY OST ANGI FIO PANW A JCP P YEP MNST GPN show .,1
125,BAC happen next ?,-1
126,KCG someone buy 3.22k 4 Jan 18 Calls ... .,1
127,Man I didnt know Skippy I make ... would throw jar H # Hormel,1
128,"Big move bond today , 7 month high 10 rate , still go lower ZN_F , could get truly ugly good NFP number AM SPY TT",1
129,Market Wrap Video + Additions Watch ist include : BCEI BJI CEE ES SONS SQNM NX YEP,1
130,Maybe vrng ask judge 7 % royalty become risky goog deal ? want settle,1
131,BJI Over 35.53 good volume,1
132,CEE Over 35.12,1
133,SQNM Over 5.05,1
134,NX On flag break,1
135,3D Systems Brings Next-Gen Consumer 3D Printing CES 2013 DDD,1
136,AAP top April Aston Kutcher star 'jOBS'. Kinda like Facebook 'Social Network ' come out. FB,-1
137,"VNG w/ MACD turn & signal line , VNG could post nice rally current level",1
138,PI 3Q 10Q operational cash flow 9mos -20million. 269 % decline vs. 9mos year ago .,-1
139,bbby 3Q 10Q Operational Cash Flow 135 million. 53 increase vs. year ago Q3. 64 % improvement q q,1
140,DI 6mos operational cash flow 267 million. increase 187 million vs.6mos year ago. 233 % increase,1
141,AM 3Q 10Q 9mos operational cash flow 32 million vs. neg 26 mil 9mos year ago .,1
142,3Q operational cash flow neg 16 million. vs. year ago 3Q negative 68million. 52 million improvement,1
143,"A quiet Carl Icahn = Bullish. NFX short paranoid every close get acquired. Think aapl , msft , amzn , fb",1
144,I aapl bull break trend line OBV,-1
145,user Phantom7 I 've call +4 ever since start thing. 3.75 given~ KCG,1
146,NX watch list small flag volume 26 % ave full day good volume,1
147,GOOG poise clear next resistance ( buy / add area ) watch action / volume closely,1
148,GDP watch list slightly line 50-day EMA light volume 5 % ave full day,1
149,"Took profit DDD , add break 60 volume .",1
150,CHK - I 'm look - small risk position call only. Scalp - maybe swing XE watch .,1
151,"ONTY If holder would hold raise ask , could really pop. Going climb slowly regardless ...",1
152,EOG PXD OAS # energyswag,1
153,AAP move volume. Couldnt cope descend trend line. Trend still down. Perhaps 460 impossible .,-1
154,AAP 50EMA continue work AAP make low high MACO sense,-1
155,"Went short SPY yesterday , pick AAP instead. Still think market need move bit resume move upside .",-1
156,AAP people realistic. Market undecided apple. Earnings lift cloud. If GOOD might EAY see reversal .,-1
157,Will watch close carefully decide whether ONG SHOT AAP. Below 530 SHOT ! ! !,-1
158,"JCP Keep eye triangle. big short int , 34 % . report Feb 27. cup & handle. DT. ong",1
159,sell little goog ... first time,1
160,Nice cup handle breakout MCA,1
161,FAF new high .,1
162,SPY give AAP finger. We n't care anymore lol,-1
163,The Smith & Corona ok. AMZN,1
164,"VA - ong 43.07. Trailing Stop 58.98 11 Stops 54.53 , 52.45 , 48.05 , 47.32 , 46.71 , ... 41.32 & 39.57 -",1
165,AMZN alert update : last minute push try shake puts. 're hanging .,-1
166,AAP volume high today monday. Keep mind .,1
167,"HB.A - ong 73.67. Trailing Stop 71.92 3 prior Stops 70.86 , 68.64 62.41 -",1
168,"The key panic here. AAP domain twitchy day trader robot , long term hold fundamental",1
169,NVDA 4 hour - love see vol explode .,1
170,VNG - Take hard look GOOG FTC settlement patents. FTC make GOOG play nice VNG ? Makes Sense,1
171,worried I go OCO 737.71 call GOOG ! door step nearly 40 move,1
172,VNG crazy anyone listen trade tool .,1
173,GOOG get fuel AAP 's reversal .,1
174,user make BBY offer shave 4 offer price ? Bid go 24-26 20 matter month .,-1
175,NVDA - answer question entry ( add ) red candle 10:50AM today. ove flag,1
176,"AAP 950 lot bid Feb 580 call 9.50 , might push stock create support. 26 delta option",1
177,"WPI - short candidate list 12/31 miss , get start short today",-1
178,MYE breaking,1
179,Short HT 200 SMA stop high day. First target 53.95. Second target 53.21 gap fill .,-1
180,QCOM introduce StreamBoost : average home connects seven device Internet,1
181,NVDA love see momo next week like previous histogram bar note .,-1
182,HMA unusual option activity. Trader buy 11k Jan 9 Put. Short term bear play,-1
183,"ADBE option trader buy 5,300 Feb 39C OI 741. Bet stock 39 Feb 16th",1
184,"NVDA ooks bullish must stay 13.05 close basis ( monthly ) , EPS say ?",-1
185,SQNM watch list line volume 86 % ave full day,1
186,HOTT Failed breakout ?,-1
187,ZN_F tick up.. I 'd seller SDJPY ( *if I n't already ) ...,-1
188,"INO Wow , nice accumulation today , heavy ...",1
189,ZNGA Fat juicy Short back low level close Gap 2.72 ?,-1
190,GDOT nice bounce 50SMA. ooks ready test recent high,1
191,HMA ooking 10 's ; head high !,1
192,"SPF ooking 9 's , head high low rate .",1
193,"GS JPM XF HOD , hungry stock ... SPY",1
194,CHK weekly bullish engulfing,1
195,GS look good head next week .,1
196,AAP know ipad minis stock everywhere. go 8 different store none em stock,1
197,As goog explodes aapl implodes MINTE 21 23 user vid year ago Mark nail subject,1
198,"KKD Krispy Kreme Doughnuts , Inc. IC XChange Conference ( ive ) 01/17/13 9:15 a.m. ET",1
199,Picked FS pullback due downgrade. Held support close week. First PT 37.30,1
200,"user : I 've pick one , I 'm call KKD next food company make DPZ like run TWENTY13 .",1
201,"ZNGA Still show red dead enko view , PF Box size 0.25",-1
202,"GS enko view GS , PF Box size = 5 show potential break 175",1
203,"NVDA enko view showing red dead , need 14 long & less 13 short",-1
204,"CSX enko view , PF Box size = 1 , VEY bullish 21 , coal stock confirm move rail .",1
205,GOOG And enko w/ PF Box size 50 look like fail breakout,-1
206,user At 155 GS bullish fin rate low = The FED Put !,1
207,user ZNGA I use lagging indicator lag stock ; ),-1
208,"GOOG , I like close 744.96",1
209,FS b/o bull flag heavy vol. etest support today light vol. 41 % short float,1
210,MSFT gap close. Continues base. SI rising. Nice : pickup w/ stop major support & 28.22 PT .,1
211,Financials continue ripping. Easy money. C approach 43 PT,1
212,VS follow throughs. 10 DMA cross 200 DMA. Trading MA's. Great setup,1
213,"user BAC Yeah ... make easy profit slash job , close win-win sale .",-1
214,New buy today watch list well NX 20 % SONS YEP BCEI GDP AY SQNM Total trigger week 39 - big week,1
215,"SBX # SI # EarthThis kind stuff make u perk ( sorry ! ) .but , go ... bullish five wave 58 .",1
216,"Can say brainy ? ong SBAC stock , 60/80 Feb collar protection ...",1
217,Anyone say much svu would go even deal go ? 4 ? 5 ? Not sure much upside leave .,1
218,NVDA bounce continue stock clear 200SMA 13 level. ong,1
219,AXTI Momentum pick w/ MACD climbing/SI rising.OBV indicator make new high high week,1
220,GDOT OBV move upwards mean big money move stock slowly. ong,1
221,aapl daily ( see note ),1
222,AMZN daily ( see note ),1
223,C daily ( see note ),1
224,"EGOV long 16.62 strong MA 's , resting/basing , room upper bolly absorb 10/20 day atr",1
225,AA Fibs Friends,1
226,TSA : Judge Dismisses Massachusetts State Automobile Dealers Association awsuit -,1
227,BAC trend n't appear slow yet. It 's prudent take profit time .,1
228,"FE - look like fire sell signal Friday , may trade short tick Friday low - work utility later ...",-1
229,coh also get reject cloud still slight uptrend past few. buy enters cloud,1
230,yum look good cloud stop either 200 sma cloud it. target 50 sma,1
231,EQIX EXPE FB GS HOG MON PII QCOM QIH SODA Some idea next week. Favorite setup EQIX,1
232,"EQIX No position , would like see breakout 216.50. Prefer consolidation though",1
233,Time contraction AAP.down test 500 week Weds.long Jan11th 510/500 put spread,-1
234,AAP Bounce Coming ?,1
235,FS en fuego ! !,1
236,AXA Over-Sold Oscillating ange ... .indicators suggest buy price hold prev close + increase volume .,1
237,A I 'm hold check out. user : Bullish MACD cross : BBG COP ENI EOG JEC IG SFY XE XOP,1
238,"JDS beautiful trend , 13.5 bring dip buyer",1
239,ko trouble stay 200 day sma past weeks. could short high stop 38,-1
240,mako red day monday break support could test old low 9-9.25,-1
241,After-hour Most Advanced : OPT MAKO FOD GNMK JDS EGE AMN PX AAY DDD SV PM BKS F,1
242,GOOG simple Fibonacci projection close 739. 127.2 % 766 161.8 % 802,1
243,Why I buy AAP Monday -,1
244,user : AMZN 263 Measured Move 307,1
245,user The INO pipeline partnership ni 's MK -- pretty much sum ...,1
246,"AMZN data company , retailer. A new post .",1
247,Trading environment favor long side. Do n't stay welcome. Too quality leaders. GS AMH OCN EGN HOV AAP,-1
248,AAP amaze run since 2005. I n't think 's .,1
249,A Tale Two Stocks AAP GOOG SPY QQQ,1
250,F Ford 's Powerful Bullish Pattern Dictates Price Direction,1
251,DT - Descending triangle. ower highs. Did n't participate well rally & 's overbought .,-1
252,CVA Over 19.00,1
253,MCK Over 100.05 -,1
254,VMED know prefer 3-4 day pullback reverse maybe Mon Tuesday flag break sup,1
255,"Just kidding , legible version. Currently long FS ( tweet friday )",1
256,Ford perform well due Hurricane Sandy 's destruction. F Palladium well PA Banks buy pick BAC C SAN GS,1
257,GS buy pullback 133 big pullback 130 .,1
258,CEG keep watch list .,1
259,I wish TV would die already like Newspapers tell CBS ftw !,1
260,I think AAP head back check 506 support,-1
261,AMZN ... ..yap yap yap,1
262,SNDK pattern look interesting. Can successfully break gap time around ?,1
263,"# AMZN all-time high pre-market , aapl still plunging. interesting trading day !",1
264,See risk ES_F 1442.00-1423.75 bearish momentum divergence resolve SPX SPY # stock .,-1
265,user : ONXX strong price & vol expansion friday. possibly look high price > another biotech 2 level,1
266,ZNGA Momentum building upside. ? On watch .,1
267,ES watch list also fast move today volume 77 % ave full day usually tiny volume,1
268,TWI like long 24 % short ...,1
269,"Green Weekly Triangle HEO , ... .pdating",-1
270,EOG - 60 min pullback breakout - watch 1/2 position,1
271,KCG 3.75 ?,1
272,ZCS almost hit stop loss ... glad see head back,1
273,AAP close short nice gain .,-1
274,"V beautiful uptrend since June '12. Never break high high , high low trend",1
275,The awesome AAP trendline ever. Since 1986 ! !,-1
276,"DDD - ong 27.95. Trailing Stop 42.35 7 prior Stops 41.70 , 39.03 , 36.53 , 32.35 , 27.95 , 25.44 22.93 -",1
277,NX large watch list gainer new buy Friday big mover today protect gain,1
278,"Green Weekly Triangle KTOS , ... .pdating",-1
279,ak correct - PPHM large watch list gainer today - though gapped big open,1
280,AAP positive close 530 today bullish. I 'll look possible ONG set .,1
281,CEG possible ONG today want play JPMOGAN BIOtech conference .,1
282,"FME : ong 10.25. Trailing Stop 13.75 8 prior Stops 12.29 , 11.50 , 10.97 , 10.63 , 10.36 , ... 9.64 & 9.03 -",1
283,I show MA Friday upside orange dot traget 517+ hit morn red dot,-1
284,TO trigger 34. First target 34.55-.90,1
285,SXC - break key downward channel level. ikely move much high .,1
286,"must follow young man user : AMZN data company , retailer. A new post .",1
287,PG short back,-1
288,OVTI downgrade Sept 7th 16.77 Q1 look good. next filing Q3 end feb .,-1
289,VS option trader sell 26k 47.25 - 52.25 call spread March. Big bet stock 47.25 March expiry,-1
290,"AA option trader bet bad earnings sell 6,200 Jan 9C buy 3,200 Jan 9P. Could hedge stock. Both trade low OI",-1
291,SKX Q3 operational cash flow negative 60million. 80million decline vs.Q3 2011,-1
292,SKX 9 mos. 2012 operational cash flow negative 20 million. 95 million decline vs. 9mos 2011,-1
293,"ed Weekly Triangle SNSS , ... ..pdating",1
294,BAC avrg 12.127,1
295,First trade come back vacation. HOT short 59.80. Stop 60.30,-1
296,"Green Weekly Triangle SCC , ... .pdating",-1
297,PODD break new 52wk high decent base,1
298,3 horseman high beta momo chase FS GMC NFX slam bit : advanced tell new year party mrkt ?,-1
299,PNA look like solid set,1
300,Names buy pullback GS CEG FB F,1
301,BA flush,-1
302,"Amazon Breaks 1,600 ( adjust split ) via user AMZN",1
303,"Financials XF drive mkt high , today weak-ish ( except JPM ) 1st time , little red flag 1 ...",-1
304,ive Broadcast get long signal PCN cover discount buy-in ! need push,1
305,"AMZN VOME go , big boy grab stocks. Higher price come .",1
306,TWI high see since September,1
307,"user gold 2011 stock contest w V , silver 2012 w TKC. Will DDAIF call win 2013 ?",1
308,AMZN FB pick high price week. Both break considerable volume .,1
309,Eceryone want piece PCN gorwth magic ... stake high ... innovation fast marketing stake high,1
310,"user scheplick It 's easy short AMZN - buy iPad Mini , tax prep book Borders ackspace time. ; - )",-1
311,Might open position S today. Cup handle make one fly 7-7.5 quickly .,1
312,"CS , KOS positive ... . nice reversal KOS",1
313,AXP try make move too. Getting interesting .,1
314,MA strong follow thru day break new high last Friday - confirmation solid,1
315,"V new high , look high price",1
316,CEG strong breakout new high today 2x daily avg. volume. ooks good upside,1
317,WETF cheap financial stock try b/o. Would like see pullback/consolidation first,1
318,"NFX short paranoid every close buyout come 1 night aapl , msft , goog , amzn , etc. dominate webtv long nflx",1
319,"As last 3 session , last hour buyer back , money need put work ... money flow ... SPY TT ES_F",1
320,"user The stock n't tell u anything new , trend say lot. This E AAP 's anticipated year .",1
321,All : rax set spy,1
322,PCN - long entry,1
323,"Green Weekly Triangle AMPE , ... .Sell Short 4.15",-1
324,"Green Weekly & Monthly Triangle FWS , ... .pdating Monthly",-1
325,"user say ZAGG another 23 % , ?",-1
326,"Green Weekly & Monthly Triangle PAB , ... .pdating",-1
327,744.96 IS A great level close GOOG,1
328,"AAP short-term outlook. 3 possible scenario , 2 bullish",1
329,Barclays upside case CSOD year end price target 46. Based 8x cy'14 revenue 10 % upside estimates. Quite achievable !,1
330,CTXS ( conservative swing ) bounce nicely support ( w/volume ) MCP ( aggressive swing ) however strong probability .,1
331,user : AMZN 's time bird fly south !,-1
332,"VVS Technicals positive continue climb. SI , OBV MACD look good",1
333,"AKX b/out 13.78 , like base action spot & decline vol , ripe pop",1
334,"HAO b/out 7.20 , price reject 7.19 today , also high 12/21",1
335,"HWAY b/out 11.08 , nice base spot",1
336,yum premarket cloud support 62.75,-1
337,"Multi-day downswing ES_F favor , see demand zone 1442.00-1423.75 SPX SPY # stock .",-1
338,"MON - make sale - buyer weakness , look like game ...",1
339,FIN 9mos Operational cash flow decline 15million vs. prior yr first 9mos. 198 % decline,-1
340,AYI Q1 Operational Cash Flow turn Negative,-1
341,AYI 1st negative operational cash flow quarter since quarter Novemebr 2008,-1
342,AYI 2013 Q1 operational Cash flow negative 14.5 million. decline 41 million vs. Q1 2012. 152 % decline,-1
343,526.20 bid hit aapl expect least move 540 today : ),1
344,"MON 2013 Q1 operational cash flow 1.569 billion , 459 million increase v 2012 Q1. 41 % increase",1
345,fio nothing air stock 17.70-17.80,-1
346,"AAP daily fade motion , people want still work ...",-1
347,I short NFX 1.00 stop .,-1
348,CTIC get long,1
349,Catch user : Hot ink totally hook morning - many great read AAP MACO,1
350,IHS year end operational cash flow decline 27 million vs. 2011. 8.19 % decline,-1
351,Watch XF JPM BAC OD closely ...,-1
352,unit cost 1.60 see bounce CTIC,1
353,little whip pop drop n't go one purchase avg day limit exposure % portfolio CTIC,1
354,"SHD Get short , someone big must exit imo ... Sitting 40 put !",-1
355,MON - add,1
356,"If 'd like gag New American Socialism , enjoy video courtesy AIG :",-1
357,JNP - add,1
358,X - add,1
359,"user Mr. Florida , hope well. You 've trade SAVE past , Im ask you. Do like ? ooking fill gap ?",1
360,SHD ... wo n't die already ? ampert n't know 2 sh*ts run retail. He buy Sears property ...,-1
361,"WN : ong 19.79. Trailing Stop 24.39 6 prior Stops 23.76 , 20.42 , 19.79 , 18.09 , 17.13 16.39 -",1
362,"DECK : Short 66.41. Trailing Stop 44.16 5 prior Stops 51.65 , 59.07 , 66.41 , 74.13 & 81.85 -",-1
363,WFM - short back,-1
364,"nice base building 1.50 -1.54 CTIC test hod 's afternoon , set nicely follow thru tomorrow. # tradeoftheweek",1
365,16 million share CTIC almost 10x avg daily vol. I n't think one day story. Gap 2.05 plenty rm run imho,1
366,SHD Eddie ampert 1 trick pony ...,-1
367,"et angry , anecdotal comment begin : Why I still think BlackBerry & IM doomed. IMM AAP GOOG NOK T VZ",-1
368,user I think AAP put long term bottom ... ..of course I could wrong look like : - ),1
369,price alert go WWW desk .,-1
370,GG delist soon typicall pump dump story last month careful one day trade mil next day ur stuck,-1
371,TSO option trader buy 10k Feb 40P 1.60. A 1.6 million bet stock 40 Feb exp. Could hedge too. OI 544,-1
372,DDD SSY Stops honored. So it. Now ... . must.not.become.bearshitter .,-1
373,CYBX keep consolidate near all-time high,1
374,DDD The sentiment stock change blink eye. Not faint heart. Still long term bullish .,1
375,MCP bottom 11.00 ? Strong esistance. nder level ... short breakout Chance .,-1
376,AIG win awsuit announces dividend reinstatement. : ),1
377,TIVO buyout come ? Sure seem strong late ?,1
378,big mistake make day stick gut reversal # SOAS # 2 stick watchlist DK STP ANA KOG,1
379,DDD look easy short,-1
380,My instinct spot 2013 still think CTIC hit 2.05 wk still want stick morning watchlist & chase,1
381,AX look good high price,1
382,CM hold well,1
383,"ANA conference tomorrow , I guess hit 10.05 ...",1
384,"NFX - hearing PJCO cautious follow comScore data : Following Weak December , Overall 4Q Traffic Again Turns Negative user",-1
385,"se pullback 2 initiate quick trade , invest , long. Keep stop tight & sell up. AAP EGN OCN AMH DDD NSM",1
386,"Piper Jaffray make negative comment NFX CST ed Box : comScore Q4 data weak edbox , Netflix",-1
387,Maybe good time buy TD 44 level appear hold key support level,1
388,"CSN option trader buy 1,500 Jan 11-16 call spread low OI indicate enter position .50. Bet data bef. Jan 19",1
389,AA go kid college fund !,1
390,X option trader take profit Feb26P sell 8k 8k OI roll position Feb 25P buy 8K 1.48,-1
391,"Green Monthly Triangle ACAD , ... .Net Profit 7,177.00 ( 11.49 % )",1
392,So far good regard APO # earnings strategy. Far soon call win though .,1
393,AA I go in..,1
394,"Does AA hold key SPX ? When AA earnings , SPX +1.90 % mo. later .",1
395,"My call week AA , WFC , APO , MON",1
396,AA n't like SPIN operational cash flow,-1
397,APO Q1 2013 operational cash flow 210 million. 90million decline vs. 2012 Q1. 30 % decline,-1
398,"ed Weekly Triangle AMS , ... .Net Profit 26,135.00 ( 38.40 % )",-1
399,CM AVG THO AMWD coil breakout new highs. Set buy stop slightly recent high .,1
400,"user jemberlin number , good swing , personally I hate AMD ,",-1
401,SPY SPX ES Green Hedges Stars model : next stop 1410.56 SPX 1387.92 low .,-1
402,SWHC look like ban large capacity magazine hurdle purchase table politicians. Was Evening News,1
403,aa Q4 Operational CF decline 209m vs. Q4'11. 18 % DECINE. P Spin say high Q3 2012. note Q3 '12 263m less Q3'11,-1
404,HT close > 200 sma ( barely ) 3rd time since Oct- eps way- watch volume > 55,1
405,user PWE crazy HAO Green Weekly Triangle short long,-1
406,WT huge 39 seller today ... check daily ... hold 40-42 loooks good swing,1
407,AJ Over 18.00 good volume,1
408,CYBX break time high accompained strong volume suggest high level .,1
409,ONTY look poise bounce bottom. SI start turn & MACD cross signal,1
410,Still trade within uptrend channel. Short-term uptrend still intact. I 'm still bullish NVDA,1
411,VVS Vivus CEO eportedly Says Acquisition 'Inevitable ' talk Deal eporter J.P. Morgan,1
412,user : C runner,1
413,"V one long growth stock holding , ever ( 19 month count ) ...",1
414,fio bounce morning ( 25 % short interest ) Still nothing air till 17.90s,-1
415,tol doji yesterday could mean another low high. Wait close cloud go short,-1
416,"AMWD set nicely 29.33. In strong building construction product group , along APOG .",1
417,"TAB I like one , real reason , new contract pick slack , 2013 'small cell ' tech , & Software-As-A-Service ! ! !",1
418,FS - buy signal trigger u,1
419,ANF radar move 48.70-49,1
420,DGI FTD. Pivot range 26.98 28.33 .,1
421,HPQ Option trader buy 10k Aug 13P .78. 780k bet stock 13 Aug expiration. Could stock hedge,-1
422,"FAF new high , still holding. Needs volume .",1
423,NS Perfect day reversal candle daily .,-1
424,VOC actually triggerd yesterday close back line - today itstrying - vol 16 %,1
425,add APP,1
426,"WFM - add small 89 , prefer 90-91 level lay short",-1
427,MAS watch list break flag today- also top line volume 11 % full day ave,1
428,CMG - 5m descend triangle. 9 % avg volume .,-1
429,user : DDD break bear flag upside ... . ots short understand momentum caught STDY,1
430,DGI still move,1
431,SSYS maybe share outstanding short.. ... .11 million operational cash flow ttm trading 1.9 bil mkt cap,-1
432,SSYS operational cash flow decline 42 % ttm vs. ttm,-1
433,"Covering 1/2 WAC short 47.15 , look low get book ...",-1
434,"VTX option trader buy 3,700 put spread April 48 42 strikes. Could big bet move stock hedge",-1
435,FS 4 hour - nice bounce ichard .,1
